,deposit
0,no
1,yes
2,no
3,yes
4,yes
5,no
6,yes
7,no
8,yes
9,no
10,no
11,yes
12,yes
13,yes
14,no
15,no
16,yes
17,yes
18,no
19,no
20,no
21,no
22,yes
23,yes
24,yes
25,no
26,no
27,no
28,no
29,no
30,no
31,yes
32,yes
33,no
34,yes
35,yes
36,yes
37,no
38,yes
39,yes
40,no
41,no
42,no
43,no
44,yes
45,yes
46,no
47,no
48,no
49,no
50,no
51,yes
52,no
53,yes
54,yes
55,no
56,no
57,yes
58,yes
59,no
60,no
61,yes
62,yes
63,yes
64,no
65,no
66,no
67,yes
68,no
69,yes
70,no
71,no
72,yes
73,yes
74,no
75,no
76,yes
77,no
78,no
79,yes
80,yes
81,yes
82,no
83,yes
84,no
85,yes
86,yes
87,yes
88,no
89,yes
90,no
91,yes
92,yes
93,yes
94,no
95,no
96,yes
97,yes
98,no
99,no
100,no
101,yes
102,yes
103,yes
104,no
105,no
106,yes
107,yes
108,no
109,yes
110,no
111,yes
112,no
113,yes
114,yes
115,no
116,no
117,yes
118,yes
119,yes
120,yes
121,no
122,no
123,no
124,yes
125,yes
126,no
127,yes
128,no
129,yes
130,yes
131,yes
132,yes
133,no
134,no
135,no
136,yes
137,yes
138,yes
139,yes
140,no
141,no
142,yes
143,yes
144,no
145,no
146,yes
147,yes
148,yes
149,no
150,yes
151,no
152,yes
153,yes
154,no
155,no
156,no
157,yes
158,no
159,no
160,no
161,no
